Clade0,Clade1,Clade2,Clade3,Clade4,Clade5,Order,Stem or crown (order level),Family,N_extant,N_fossils,oldest_fossil,youngest_fossil,root_est,root_lower,root_upper,ext_est,ext_lower,ext_upper,q_est,q_lower,q_upper,a_est,a_lower,a_upper,sig2_est,sig2_lower,sig2_upper,Horizons,alpha,strat_range,marsh_origin_lower,marsh_origin_upper,marsh_ext_lower,marsh_ext_upper
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Llanocetidae,0,1,35,35,36.59241285,35.0004318,39.46512893,33.80480756,31.39780649,34.99995625,0.939086359,7.21E-05,2.916048582,37.39343252,0.038476197,89.28654724,1.753664952,-0.718792017,3.778440364,2,28.83,0,35,35,35,35
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Perissodactyla,Crown,Lophialetidae,0,19,55,31,58.4172776,55.00118854,64.55103056,29.25678436,26.07772603,30.99991573,0.202996576,0.002802047,0.543842861,2.43012456,0.000134987,6.661644073,0.244636853,-2.943023732,2.989740674,20,0.21,24,55,60.04,25.96,31
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Perissodactyla,Crown,Lophiodontidae,0,50,55,36,56.80118304,55.00068191,59.85553053,34.31101908,33.17977184,34.99994125,0.19915946,0.002349775,0.481842814,7.218221581,0.004847856,15.54375489,1.996066681,0.998290961,3.291432347,70,0.05,19,55,55.95,35.05,36
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Lophiomerycidae,0,29,41,25,43.50986941,42.00152163,46.47178711,23.14233896,21.61956038,23.99998133,0.312351954,0.023996477,0.718690612,5.047102951,0.001563592,12.56345772,1.303151033,0.085286561,3.04202858,37,0.11,16,41,42.76,23.24,25
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Euarchonta,Primates,Crown,Lorisidae,15,3,40,9,59.63219196,40.01702236,96.8615393,0,0,0,0.002131776,2.74E-06,0.006983062,2.214215519,0.000335725,5.851204709,3.539124016,0.291551063,6.476050085,3,3.472135955,31,40,147.6362146,0,0
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Perissodactyla,Stem,Louisinidae,0,31,65,57,67.26281796,66.00073674,69.8747951,55.46030772,55.00202806,55.98438922,0.111131309,0.000979278,0.324604661,27.69513344,5.798319105,50.20192459,3.26428407,2.769123928,3.95083266,8,0.68,8,65,70.44,51.56,57
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Litopterna,Extinct order,Macraucheniidae,3,48,54,1,60.55982065,54.00004044,72.89953049,0,0,0,0.027992206,2.26E-05,0.079835637,4.507612334,1.228916334,7.651274205,2.021752698,-0.003294785,3.905852175,63,0.04950462,53,54,56.62374487,0,0
Theriiformes,Theria,Metatheria,Marsupialia,Australidelphia,NA,Diprotodontia,Crown,Macropodidae,76,94,25,1,29.94696121,25.00191974,39.48836427,0,0,0,0.01726002,8.40E-06,0.052762111,12.07673929,4.922680456,18.75522264,5.486640223,4.324725284,6.881456105,124,0.024654566,24,25,25.59170958,0,0
Theriiformes,Theria,Eutheria,Placentalia,Afrotheria,Afroinsectiphilia,Macroscelidea,Crown,Macroscelididae,20,14,55,1,67.36663152,55.0138665,90.04803537,0,0,0,0.007556238,2.69E-06,0.02150733,2.741379182,0.003189204,5.730830157,2.778074316,0.575688585,5.096872142,18,0.192699882,54,55,65.40579362,0,0
Theriiformes,Theria,Eutheria,Marsupialia,Australidelphia,NA,Dasyuromorphia,Stem,Malleodectidae,0,2,54,54,56.50590327,55.00000554,59.75577954,51.92797849,49.83239191,52.99995453,0.312175561,0.000101069,0.873436314,27.69081027,0.003389592,73.18798192,1.764726854,-0.862020942,3.747922494,1,NA,0,54,NA,NA,54
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Mammalodontidae,0,4,28,24,29.88911228,28.00047192,33.7858863,22.8574969,20.5781315,23.99987847,0.381925599,0.001640069,1.069116144,16.29975347,0.000217075,49.1576449,0.982128462,-2.302615702,3.5397811,4,2.3,4,28,37.2,14.8,24
Theriiformes,Theria,Eutheria,Placentalia,Afrotheria,Paenungulata,Proboscidea,Crown,Mammutidae,3,64,28,1,30.5113482,28.00041163,35.63958237,0,0,0,0.217941392,0.000531505,0.540922193,7.93591482,2.00695943,14.46361525,-0.126048115,-2.02002454,1.808506825,518,0.005811273,27,28,28.15690438,0,0
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Pholidota,Crown,Manidae,8,1,5,5,10.41317367,5.007171409,21.70707202,0,0,0,0.022514181,1.81E-05,0.073913043,11.90446155,0.002236987,36.77945463,3.472410091,0.69409263,5.800723119,2,19,0,5,5,0,0
Theriiformes,Theria,Metatheria,Marsupialia,Australidelphia,NA,Diprotodontia,Crown,Maradidae,0,1,28,28,29.48458208,28.00117706,32.59474085,26.84280373,24.33332881,27.99981654,0.978586722,0.000935227,3.033835623,39.16779014,0.014001269,92.3790229,1.610840471,-1.207349966,3.942022903,1,NA,0,28,NA,NA,28
Theriiformes,Theria,Metatheria,NA,Sparassodonta,NA,NA,Extinct order,Mayulestidae,0,1,66,66,67.37702198,66.00034825,69.90944543,64.96417213,63.05524109,65.99991723,0.972418794,0.000797579,2.979136266,41.20847994,0.000922427,90.43848511,1.756367419,-0.746200258,3.909684769,1,NA,0,66,NA,NA,66
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Chiroptera,Crown,Megadermatidae,6,10,34,1,42.42182404,34.00092788,58.46603322,0,0,0,0.017940596,1.22E-05,0.05866065,4.265414471,0.00396439,9.80273619,1.720631703,-1.622484674,4.973498658,11,0.349282848,33,34,45.52633397,0,0
Theriiformes,Theria,Eutheria,Placentalia,Xenarthra,NA,Pilosa,Crown,Megalonychidae,22,78,28,1,34.43501428,28.00546101,49.47282306,0,0,0,0.00501945,1.14E-07,0.018808722,19.36505341,11.85391613,27.12541922,4.661910817,3.327487483,5.960951848,129,0.023680185,27,28,28.63936499,0,0
Theriiformes,Theria,Eutheria,Placentalia,Xenarthra,NA,Pilosa,Crown,Megatheriidae,9,51,19,1,21.71558219,19.00018062,26.84994848,0,0,0,0.160745961,0.000159848,0.498693902,12.63772665,1.557406747,22.91986366,1.678581206,-0.519299388,3.94737108,151,0.020172314,18,19,19.36310166,0,0
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Carnivora,Crown,Mephitidae,12,16,18,1,22.3376862,18.00009632,30.53997729,0,0,0,0.034926532,3.98E-07,0.11219196,10.68164982,0.016813851,21.34479261,2.290183478,-0.901452983,5.151119943,81,0.038156613,17,18,18.64866243,0,0
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Merycoidodontidae,0,325,41,6,42.39787397,41.00075742,44.4164706,5.002454804,3.513392468,5.999573743,0.214037384,0.09723445,0.354741796,1.635783793,9.40E-05,4.082480431,4.28071843,3.936364068,4.690651526,661,0,35,41,41,6,6
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Mesonychia,Extinct order,Mesonychidae,0,84,65,31,67.58427859,66.00016006,70.22977957,29.70286001,27.60996221,30.99910406,0.216877044,0.061274519,0.401109526,0.963243761,2.87E-05,2.728825839,2.133779916,0.941834911,3.45910152,137,0.03,34,65,66.02,29.98,31
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Notoungulata,Extinct order,Mesotheriidae,2,39,29,1,31.50471996,29.0008306,35.69976617,0,0,0,0.225732186,0.011617974,0.495215746,3.185866656,0.001100896,7.613497912,0.982668616,-0.883726888,3.117359736,49,0.08,28,29,31.24,0,1
Theriiformes,Theria,Eutheria,Theriiformes,Dryolestoidea,NA,Dryolestida,Extinct order,Mesungulatidae,0,8,82,63,88.13982177,83.00007451,99.29045484,60.01103518,54.43722915,62.99973525,0.064699792,0.000292334,0.20486638,4.755559313,0.000379133,12.16254661,0.766960966,-2.614106336,3.346299022,7,0.83,19,82,97.77,47.23,63
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Palaeanodonta,Extinct order,Metacheiromyidae,0,22,62,47,63.95059483,62.00005589,67.9403043,46.41235436,45.72517748,46.99987337,0.347044981,0.000711015,0.974704934,18.85849395,0.000885419,40.44851243,-0.449590541,-1.403173649,1.376412188,60,0.06,15,62,62.9,46.1,47
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Carnivora,Stem,Miacidae,0,49,56,31,58.74041395,57.00009273,61.37995757,29.85025492,27.98918467,30.99996751,0.317876444,0.063849377,0.612436906,0.994641894,6.29E-05,2.857392919,1.577524205,-0.011445377,3.111232063,90,0.04,25,56,57,30,31
